surface,rooms,bathrooms,location,city,property_type,floor,total_floors,parking,has_garden,has_pool,year_built,price
152,4,1,Tataouine,Tataouine,apartment,7,5,False,False,False,2008,247820
380,3,4,Sfax,Sfax,house,0,5,True,False,False,2013,385912
199,5,2,Bizerte,Bizerte,villa,0,8,True,True,True,2019,690583
435,4,1,Bizerte,Bizerte,apartment,0,6,True,False,False,2014,871113
108,7,2,Sfax,Sfax,apartment,2,7,False,False,False,1992,199411
356,7,1,Lac 2,Tunis,apartment,8,7,True,False,False,2007,887401
138,4,2,Sousse,Sousse,house,0,2,True,True,False,1998,539318
102,2,4,Kairouan,Kairouan,villa,0,7,True,True,True,1997,183930
255,1,4,Sfax,Sfax,villa,0,2,True,True,False,1993,774011
439,6,2,Nabeul,Nabeul,villa,0,4,True,True,True,2018,2138521
451,2,4,Monastir,Monastir,apartment,1,4,False,False,False,2003,582692
320,6,3,Monastir,Monastir,house,0,9,False,True,False,2010,556075
286,2,3,Sousse,Sousse,villa,0,5,True,False,True,2013,856734
301,4,4,Sfax,Sfax,house,0,9,False,True,False,2018,280296
350,1,1,Nabeul,Nabeul,house,0,7,False,True,False,1998,1301500
178,4,4,Sfax,Sfax,apartment,7,3,False,False,False,2006,169598
212,3,1,Gabès,Gabès,villa,0,5,True,False,True,2017,389204
250,4,2,Kairouan,Kairouan,villa,0,1,True,False,False,2012,906066
265,5,3,Gafsa,Gafsa,house,0,8,False,False,False,2011,653172
498,3,1,Monastir,Monastir,apartment,2,1,False,False,False,1994,813134
304,6,3,Kairouan,Kairouan,house,0,9,True,True,False,2004,671172
395,2,4,Sousse,Sousse,villa,0,3,False,True,True,2021,1881357
290,4,1,Gafsa,Gafsa,apartment,3,5,True,False,False,2012,250908
286,7,3,Gabès,Gabès,villa,0,4,True,True,True,2002,1226243
376,3,3,Nabeul,Nabeul,house,0,6,True,True,False,2017,932885
219,5,2,Bizerte,Bizerte,apartment,8,5,True,False,False,1995,293416
77,4,4,Monastir,Monastir,villa,0,4,True,False,True,2019,326010
177,2,3,Tataouine,Tataouine,villa,0,9,False,True,True,2022,804768
426,3,2,Tataouine,Tataouine,villa,0,9,False,False,True,2002,1660336
408,6,4,Kairouan,Kairouan,villa,0,9,True,False,True,2022,1649641
221,7,3,Lac 1,Tunis,apartment,5,8,False,False,False,2001,1031186
344,2,3,Monastir,Monastir,apartment,0,5,True,False,False,2006,432862
162,2,2,Hammamet,Hammamet,apartment,5,7,False,False,False,2021,398131
434,3,2,Carthage,Tunis,house,0,2,True,True,False,2015,3251738
247,7,4,Gafsa,Gafsa,apartment,6,8,False,False,False,2006,309441
343,5,4,Sfax,Sfax,apartment,1,6,True,False,False,2011,672472
289,1,1,Carthage,Tunis,villa,0,6,True,False,False,2005,2372736
308,4,4,Tataouine,Tataouine,villa,0,4,True,True,False,2008,1111104
196,4,4,Monastir,Monastir,house,0,7,True,True,False,2022,579876
88,2,4,Nabeul,Nabeul,apartment,0,9,True,False,False,2014,105336
464,6,2,Lac 1,Tunis,house,0,3,False,True,False,1996,1251398
395,1,4,Sfax,Sfax,apartment,0,2,True,False,False,1990,705738
303,4,1,Hammamet,Hammamet,villa,0,5,True,True,False,2021,1371246
58,1,3,Gabès,Gabès,villa,0,3,False,True,False,2005,179517
453,6,4,Bizerte,Bizerte,villa,0,1,True,True,False,2013,1075144
124,1,4,Gafsa,Gafsa,villa,0,4,True,False,True,2009,256652
276,6,1,Gabès,Gabès,house,0,3,False,True,False,2014,540869
433,6,2,Gabès,Gabès,apartment,1,6,True,False,False,2005,638692
218,4,1,Monastir,Monastir,villa,0,4,True,False,False,2022,394550
326,4,4,Tataouine,Tataouine,apartment,7,7,False,False,False,1992,312960
177,1,4,Nabeul,Nabeul,house,0,3,True,True,False,2011,700983
71,6,2,Gafsa,Gafsa,house,0,6,False,False,False,1997,155507
76,2,1,Tataouine,Tataouine,house,0,1,False,True,False,2017,145892
497,1,1,Kairouan,Kairouan,apartment,2,4,True,False,False,2006,832872
269,6,1,Sousse,Sousse,villa,0,5,True,True,True,1995,783443
429,1,1,Gabès,Gabès,house,0,8,False,True,False,2018,636045
351,5,3,Hammamet,Hammamet,house,0,3,True,True,False,2022,1226285
240,5,1,Sousse,Sousse,apartment,6,1,True,False,False,1992,280324
67,1,2,Monastir,Monastir,villa,0,6,True,False,True,1992,195567
329,2,4,Hammamet,Hammamet,villa,0,6,False,True,False,2012,1376580
176,3,2,Gafsa,Gafsa,apartment,1,1,True,False,False,2022,327613
348,6,4,Gafsa,Gafsa,apartment,6,7,True,False,False,2015,502790
457,5,4,Kairouan,Kairouan,apartment,9,7,True,False,False,2009,429945
313,6,4,Sfax,Sfax,apartment,2,7,False,False,False,2004,479516
403,2,4,Hammamet,Hammamet,apartment,6,6,True,False,False,2014,697689
239,5,2,Nabeul,Nabeul,house,0,6,False,False,False,1995,699820
493,5,1,Sfax,Sfax,villa,0,8,True,True,True,1994,2053009
245,6,1,Monastir,Monastir,apartment,3,3,False,False,False,2005,209328
419,4,2,Hammamet,Hammamet,villa,0,3,False,True,False,2006,914904
368,3,4,Nabeul,Nabeul,house,0,7,False,False,False,2015,884083
166,6,3,Carthage,Tunis,house,0,9,False,True,False,2001,860265
178,2,2,Ariana,Tunis,apartment,0,2,True,False,False,2021,689941
167,1,4,Nabeul,Nabeul,villa,0,5,True,False,True,1990,1031541
238,7,4,Bizerte,Bizerte,house,0,5,True,True,False,2011,474570
